Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2023-09-28 16:41:02.253,2023-09-28 16:41:01.320,26.435,-23.54437,-46.59261,3.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,lifecycle
2023-09-28 16:41:00.015,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
2023-09-28 16:41:00.003,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,custom
2023-09-28 16:40:59.992,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,custom
2023-09-28 16:40:59.691,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
2023-09-28 16:40:59.691,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
2023-09-28 16:40:59.689,2023-09-28 16:40:58.584,47.51,-23.54422,-46.59244,5.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
2023-09-28 16:40:58.740,2023-09-28 16:38:55.305,7.861,-23.54334,-46.58917,0.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,lifecycle
2023-09-28 16:40:58.477,2023-09-28 16:38:55.305,7.861,-23.54334,-46.58917,0.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
2023-09-28 16:40:51.158,2023-09-28 16:38:55.305,7.861,-23.54334,-46.58917,0.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,custom
2023-09-28 16:40:51.150,2023-09-28 16:38:55.305,7.861,-23.54334,-46.58917,0.0,sao_paulo,Claro BR,724,05,success,04638fde-d6aa-4fe8-b1de-3fa8850ba239,100.70.87.93,pt,Redmi Note 7,android,10,pt_BR,2023-09-28 16:31:29.808,impression
