City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Sao Paulo,UberX,COMPLETED,2023-10-03 14:12:50 +0000 UTC,2023-10-03 14:22:10 +0000 UTC,-23.497253,-46.440014,"R. Dr. José Guilherme Eiras, 123 - São Miguel Paulista - São Paulo - SP, 08010-220",2023-10-03 14:33:55 +0000 UTC,-23.520693,-46.423267,"Rua Cambacica, 338 - São Paulo - SP, 08032-440",2.53,13.12,BRL
Sao Paulo,UberX,COMPLETED,2023-09-28 17:11:54 +0000 UTC,2023-09-28 17:19:38 +0000 UTC,-23.56316,-46.588573,"Rua Fernando Falcão, 1111 - São Paulo - São Paulo - SP, 03180-003",2023-09-28 17:33:17 +0000 UTC,-23.54191,-46.589756,"Av. Alcântara Machado, S/N - Belenzinho - São Paulo - SP, 03302-000",2.66,19.97,BRL
Sao Paulo,UberX,COMPLETED,2023-09-28 16:32:21 +0000 UTC,2023-09-28 16:39:18 +0000 UTC,-23.54338,-46.589165,"Av. Alcântara Machado, S/N - Belenzinho - São Paulo - SP, 03302-000",2023-09-28 16:49:12 +0000 UTC,-23.56338,-46.58852,"Rua Fernando Falcão, 1111 - São Paulo - São Paulo - SP, 03180-003",1.87,14.94,BRL
Sao Paulo,UberX,COMPLETED,2023-09-10 22:10:54 +0000 UTC,2023-09-10 22:24:13 +0000 UTC,-23.52067,-46.440445,"Rua Manoel Celestino Filho, 9 - São Miguel - São Paulo - SP, 08245-161",2023-09-10 22:48:31 +0000 UTC,-23.512012,-46.52025,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",6.25,24.93,BRL
Sao Paulo,UberX,COMPLETED,2023-08-03 17:26:57 +0000 UTC,2023-08-03 17:29:53 +0000 UTC,-23.563318,-46.588703,"Rua Fernando Falcão, 1111 - São Paulo - São Paulo - SP, 03180-003",2023-08-03 17:44:31 +0000 UTC,-23.54191,-46.589806,"Av. Alcântara Machado, S/N - São Paulo - SP, 03302-000",2.69,19.99,BRL
Sao Paulo,UberX,COMPLETED,2023-08-03 16:15:21 +0000 UTC,2023-08-03 16:18:41 +0000 UTC,-23.543413,-46.589195,"Av. Alcântara Machado, S/N - São Paulo - SP, 03302-000",2023-08-03 16:27:52 +0000 UTC,-23.56334,-46.588543,"Rua Fernando Falcão, 1111 - São Paulo - São Paulo - SP, 03180-003",1.85,14.97,BRL
Sao Paulo,UberX,COMPLETED,2023-07-22 16:01:09 +0000 UTC,2023-07-22 16:13:19 +0000 UTC,-23.527609,-46.41778,"Avenida Nordestina, 5643 - Lajeado - São Paulo - SP, 08431-410",2023-07-22 16:51:02 +0000 UTC,-23.51192,-46.520256,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",9.44,29.98,BRL
Sao Paulo,UberX,COMPLETED,2023-07-22 11:40:02 +0000 UTC,2023-07-22 11:44:47 +0000 UTC,-23.511929,-46.520233,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-07-22 12:16:51 +0000 UTC,-23.520971,-46.41904,"Av. Nordestina, 4900 - Vila Nova Curuca, São Paulo - SP, 08032-000, Brasil",9.45,29.98,BRL
Sao Paulo,UberX,COMPLETED,2023-06-03 17:45:02 +0000 UTC,2023-06-03 17:50:11 +0000 UTC,-23.512053,-46.52027,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",2023-06-03 18:04:19 +0000 UTC,-23.52532,-46.546257,"R. Dr. João Ribeiro, 304 - Penha de França - São Paulo - SP, 03634-000",2.64,19.9,BRL
Sao Paulo,UberX,COMPLETED,2023-05-02 13:52:43 +0000 UTC,2023-05-02 13:54:52 +0000 UTC,-23.567305,-46.504654,Acesso Estacionamento Av Aricanduva,2023-05-02 14:20:12 +0000 UTC,-23.511929,-46.520298,"Rua Manuel Leiroz, 210 - Cangaiba - São Paulo - SP, 03735-180",5.45,22.94,BRL
